latitude in degrees;latitude radians;radius in meters;gc;gnorth
45;0.7853981633974483;6378135.0;9.790339614781404;-0.015920765181322363
46;0.8028514559173916;6378135.0;9.789506261941986;-0.01591146601938016
47;0.8203047484373349;6378135.0;9.78867389252203;-0.01588277563384639
48;0.8377580409572782;6378135.0;9.787843521085634;-0.01583472785221174
49;0.8552113334772214;6378135.0;9.787016159855781;-0.01576738010943716
50;0.8726646259971648;6378135.0;9.786192817479114;-0.015680813382825117
51;0.8901179185171081;6378135.0;9.78537449779466;-0.015575132098102863
52;0.9075712110370514;6378135.0;9.784562198607993;-0.015450464006810206
53;0.9250245035569946;6378135.0;9.783756910472388;-0.015306960035120096
54;0.9424777960769379;6378135.0;9.782959615478402;-0.015144794104255165
55;0.9599310885968813;6378135.0;9.782171286053448;-0.014964162922699288
56;0.9773843811168246;6378135.0;9.781392883772757;-0.014765285750438105
57;0.9948376736367679;6378135.0;9.78062535818327;-0.014548404135497324
58;1.0122909661567112;6378135.0;9.77986964564186;-0.014313781623082777
59;1.0297442586766545;6378135.0;9.779126668169345;-0.014061703437660202
60;1.0471975511965976;6378135.0;9.77839733232171;-0.013792476138347222
61;1.064650843716541;6378135.0;9.777682528079918;-0.013506427248023416
62;1.0821041362364843;6378135.0;9.776983127759731;-0.013203904856597995
63;1.0995574287564276;6378135.0;9.776299984942824;-0.012885277198907223
64;1.117010721276371;6378135.0;9.775633933430601;-0.012550932207746083
65;1.1344640137963142;6378135.0;9.774985786221961;-0.01220127704257052
66;1.1519173063162575;6378135.0;9.774356334516302;-0.011836737594437657
67;1.1693705988362009;6378135.0;9.773746346743005;-0.011457757967781883
68;1.1868238913561442;6378135.0;9.773156567618637;-0.011064799939654497
69;1.2042771838760873;6378135.0;9.772587717232984;-0.010658342397083605
70;1.2217304763960306;6378135.0;9.772040490165148;-0.01023888075323924
71;1.239183768915974;6378135.0;9.771515554630732;-0.009806926343116147
72;1.2566370614359172;6378135.0;9.771013551661222;-0.009363005799473011
73;1.2740903539558606;6378135.0;9.77053509431661;-0.008907660409792835
74;1.2915436464758039;6378135.0;9.770080766932198;-0.008441445455053615
75;1.3089969389957472;6378135.0;9.769651124400562;-0.007964929531122338
76;1.3264502315156905;6378135.0;9.769246691489595;-0.0074786938536078075
77;1.3439035240356338;6378135.0;9.768867962197422;-0.006983331547029669
78;1.361356816555577;6378135.0;9.768515399145084;-0.006479446919181296
79;1.3788101090755203;6378135.0;9.768189433007672;-0.005967654721583752
80;1.3962634015954636;6378135.0;9.76789046198471;-0.005448579396946287
81;1.413716694115407;6378135.0;9.767618851310363;-0.004922854314565786
82;1.4311699866353502;6378135.0;9.767374932804184;-0.00439112099461359
83;1.4486232791552935;6378135.0;9.767159004462886;-0.0038540283222726715
84;1.4660765716752369;6378135.0;9.766971330093703;-0.003312231752701518
85;1.4835298641951802;6378135.0;9.766812138989787;-0.0027663925078132115
86;1.5009831567151235;6378135.0;9.766681625648033;-0.002217176765868964
87;1.5184364492350666;6378135.0;9.766579949529753;-0.0016652548448948877
88;1.53588974175501;6378135.0;9.76650723486439;-0.0011113003809388898
89;1.5533430342749532;6378135.0;9.766463570496645;-0.0005559895021915399
90;1.5707963267948966;6378135.0;9.76644900977712;-0.0
91;1.5882496193148399;6378135.0;9.766463570496645;0.0005559895021915399
92;1.6057029118347832;6378135.0;9.76650723486439;0.0011113003809388898
93;1.6231562043547265;6378135.0;9.766579949529753;0.0016652548448948877
94;1.6406094968746698;6378135.0;9.766681625648033;0.002217176765868971
95;1.6580627893946132;6378135.0;9.766812138989787;0.0027663925078132185
96;1.6755160819145565;6378135.0;9.766971330093703;0.0033122317527015254
97;1.6929693744344996;6378135.0;9.767159004462886;0.0038540283222726715
98;1.710422666954443;6378135.0;9.767374932804184;0.00439112099461359
99;1.7278759594743862;6378135.0;9.767618851310363;0.004922854314565786
100;1.7453292519943295;6378135.0;9.76789046198471;0.005448579396946287
101;1.7627825445142729;6378135.0;9.768189433007672;0.005967654721583752
102;1.7802358370342162;6378135.0;9.768515399145084;0.006479446919181296
103;1.7976891295541595;6378135.0;9.768867962197422;0.0069833315470296765
104;1.8151424220741028;6378135.0;9.769246691489595;0.007478693853607814
105;1.8325957145940461;6378135.0;9.769651124400562;0.007964929531122343
106;1.8500490071139892;6378135.0;9.770080766932198;0.008441445455053615
107;1.8675022996339325;6378135.0;9.77053509431661;0.008907660409792835
108;1.8849555921538759;6378135.0;9.771013551661222;0.009363005799473011
109;1.9024088846738192;6378135.0;9.771515554630732;0.009806926343116147
110;1.9198621771937625;6378135.0;9.772040490165148;0.01023888075323924
111;1.9373154697137058;6378135.0;9.772587717232984;0.010658342397083605
112;1.9547687622336491;6378135.0;9.773156567618637;0.011064799939654502
113;1.9722220547535925;6378135.0;9.773746346743005;0.011457757967781887
114;1.9896753472735358;6378135.0;9.774356334516302;0.011836737594437659
115;2.007128639793479;6378135.0;9.774985786221961;0.01220127704257052
116;2.0245819323134224;6378135.0;9.775633933430601;0.012550932207746087
117;2.0420352248333655;6378135.0;9.776299984942824;0.012885277198907223
118;2.059488517353309;6378135.0;9.776983127759731;0.013203904856598
119;2.076941809873252;6378135.0;9.777682528079918;0.013506427248023416
120;2.0943951023931953;6378135.0;9.77839733232171;0.013792476138347219
121;2.111848394913139;6378135.0;9.779126668169345;0.014061703437660205
122;2.129301687433082;6378135.0;9.77986964564186;0.014313781623082777
123;2.1467549799530254;6378135.0;9.78062535818327;0.014548404135497328
124;2.1642082724729685;6378135.0;9.781392883772757;0.014765285750438105
125;2.181661564992912;6378135.0;9.782171286053448;0.014964162922699292
126;2.199114857512855;6378135.0;9.782959615478402;0.015144794104255165
127;2.2165681500327987;6378135.0;9.783756910472388;0.0153069600351201
128;2.234021442552742;6378135.0;9.784562198607993;0.01545046400681021
129;2.251474735072685;6378135.0;9.78537449779466;0.015575132098102863
130;2.2689280275926285;6378135.0;9.786192817479114;0.01568081338282512
